Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,Equity,"6,047,216.73",0.04,"6,047,216.73","31,491.00",192.03
TPL,TEXAS PACIFIC LAND CORP,Energy,Equity,"6,046,083.65",0.04,"6,046,083.65","5,095.00","1,186.67"
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity,"6,024,003.66",0.04,"6,024,003.66","28,683.00",210.02
FTV,FORTIVE CORP,Industrials,Equity,"6,022,948.96",0.04,"6,022,948.96","94,448.00",63.77
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity,"5,959,295.26",0.04,"5,959,295.26","29,261.00",203.66
TTD,TRADE DESK INC CLASS A,Communication,Equity,"5,941,518.57",0.04,"5,941,518.57","120,591.00",49.27
VLTO,VERALTO CORP,Industrials,Equity,"5,898,993.50",0.04,"5,898,993.50","66,505.00",88.70
DOV,DOVER CORP,Industrials,Equity,"5,868,457.24",0.04,"5,868,457.24","36,779.00",159.56
DELL,DELL TECHNOLOGIES INC CLASS C,Information Technology,Equity,"5,803,905.62",0.04,"5,803,905.62","73,523.00",78.94
HPQ,HP INC,Information Technology,Equity,"5,780,255.28",0.04,"5,780,255.28","252,744.00",22.87
K,KELLANOVA,Consumer Staples,Equity,"5,753,496.30",0.04,"5,753,496.30","70,045.00",82.14
CMS,CMS ENERGY CORP,Utilities,Equity,"5,751,546.75",0.04,"5,751,546.75","80,385.00",71.55
STE,STERIS,Health Care,Equity,"5,744,560.96",0.04,"5,744,560.96","26,458.00",217.12
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,"5,736,496.64",0.04,"5,736,496.64","128,968.00",44.48
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,Equity,"5,733,871.42",0.04,"5,733,871.42","12,494.00",458.93
EIX,EDISON INTERNATIONAL,Utilities,Equity,"5,713,180.40",0.04,"5,713,180.40","103,126.00",55.40
